SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1855,66,7649,6239070,t=12,fecal,fecal,fecal,1445578,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1856,66,7650,6239070,t=12,fecal,fecal,fecal,154321,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1857,66,7639,6239072,t=12,fecal,fecal,fecal,684931.5,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1858,66,7640,6239072,t=12,fecal,fecal,fecal,4166667,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1859,66,7641,6239072,t=12,fecal,fecal,fecal,2349291,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1860,66,7642,6239072,t=12,fecal,fecal,fecal,3502747,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1861,66,7643,6239071,t=12,fecal,fecal,fecal,70093458,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1862,66,7644,6239071,t=12,fecal,fecal,fecal,81713781,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1863,66,7645,6239071,t=12,fecal,fecal,fecal,3.35E+08,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1864,66,7646,6239071,t=12,fecal,fecal,fecal,1.38E+08,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1865,67,7651,6239069,t=24,fecal,fecal,fecal,45454.55,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1866,67,7652,6239069,t=24,fecal,fecal,fecal,31362.01,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1867,67,7653,6239069,t=24,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1868,67,7654,6239069,t=24,fecal,fecal,fecal,120412.8,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1869,67,7647,6239070,t=24,fecal,fecal,fecal,281862.7,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1870,67,7648,6239070,t=24,fecal,fecal,fecal,398250.5,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1871,67,7649,6239070,t=24,fecal,fecal,fecal,7.19E+08,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1872,67,7650,6239070,t=24,fecal,fecal,fecal,8928.571,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1873,67,7639,6239072,t=24,fecal,fecal,fecal,0,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1874,67,7640,6239072,t=24,fecal,fecal,fecal,1.18E+08,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1875,67,7641,6239072,t=24,fecal,fecal,fecal,33293461,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1876,67,7642,6239072,t=24,fecal,fecal,fecal,167338.7,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1877,67,7643,6239071,t=24,fecal,fecal,fecal,4.70E+10,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1878,67,7644,6239071,t=24,fecal,fecal,fecal,3.35E+10,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1879,67,7645,6239071,t=24,fecal,fecal,fecal,3.17E+11,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1880,67,7646,6239071,t=24,fecal,fecal,fecal,1.24E+11,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1881,68,7651,6239069,t=48,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1882,68,7652,6239069,t=48,fecal,fecal,fecal,10162.6,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1883,68,7653,6239069,t=48,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1884,68,7654,6239069,t=48,fecal,fecal,fecal,1855469,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1885,68,7647,6239070,t=48,fecal,fecal,fecal,93930.64,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1886,68,7648,6239070,t=48,fecal,fecal,fecal,81081.08,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1887,68,7649,6239070,t=48,fecal,fecal,fecal,1.16E+12,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1888,68,7650,6239070,t=48,fecal,fecal,fecal,0,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1889,68,7639,6239072,t=48,fecal,fecal,fecal,12626.26,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1890,68,7640,6239072,t=48,fecal,fecal,fecal,1.08E+08,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1892,68,7642,6239072,t=48,fecal,fecal,fecal,92857.14,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1893,68,7643,6239071,t=48,fecal,fecal,fecal,6.43E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1894,68,7644,6239071,t=48,fecal,fecal,fecal,3.54E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1895,68,7645,6239071,t=48,fecal,fecal,fecal,1.27E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1896,68,7646,6239071,t=48,fecal,fecal,fecal,4.57E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1897,69,7651,6239069,t=72,fecal,fecal,fecal,19083.97,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1898,69,7652,6239069,t=72,fecal,fecal,fecal,4355.401,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1899,69,7653,6239069,t=72,fecal,fecal,fecal,347985.3,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1900,69,7654,6239069,t=72,fecal,fecal,fecal,35211.27,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1901,69,7647,6239070,t=72,fecal,fecal,fecal,2957317,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1902,69,7648,6239070,t=72,fecal,fecal,fecal,13020.83,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1903,69,7649,6239070,t=72,fecal,fecal,fecal,9.33E+11,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1904,69,7650,6239070,t=72,fecal,fecal,fecal,0,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1905,69,7639,6239072,t=72,fecal,fecal,fecal,1.51E+08,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1906,69,7640,6239072,t=72,fecal,fecal,fecal,4.58E+10,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1908,69,7642,6239072,t=72,fecal,fecal,fecal,2.21E+07,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1909,69,7643,6239071,t=72,fecal,fecal,fecal,2.21E+12,8,8,WD-ABX-INF,WD,ABX,INF,72
ST1910,69,7644,6239071,t=72,fecal,fecal,fecal,2.74E+12,8,8,WD-ABX-INF,WD,ABX,Inf,72
ST1911,69,7645,6239071,t=72,fecal,fecal,fecal,1.77E+12,8,8,WD-ABX-INF,WD,ABX,Inf,72
ST1912,69,7646,6239071,t=72,fecal,fecal,fecal,2.60E+12,8,8,WD-ABX-INF,WD,ABX,INF,72
7651,70,7651,6239069,t=96,MLN,MLN,MLN,6901041.667,8,8,RC-PBS-INF,RC,PBS,INF,96
7651,70,7651,6239069,t=96,spl,spl,spl,0.00E+00,8,8,RC-PBS-INF,RC,PBS,INF,96
7651,70,7651,6239069,t=96,liv,liv,liv,0.00E+00,8,8,RC-PBS-INF,RC,PBS,INF,96
7651,70,7651,6239069,t=96,ile-L,ile-L,ile-L,0.00E+00,8,8,RC-PBS-INF,RC,PBS,INF,96
7651,70,7651,6239069,t=96,cec-L,cec-L,cec-L,10711.22536,8,8,RC-PBS-INF,RC,PBS,INF,96
7651,70,7651,6239069,t=96,col-L,fecal,fecal,79365.07937,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,MLN,MLN,MLN,1466049.383,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,spl,spl,spl,0,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,liv,liv,liv,523399.0148,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,ile-L,ile-L,ile-L,237025.9481,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,cec-L,cec-L,cec-L,94528.46975,8,8,RC-PBS-INF,RC,PBS,INF,96
7652,70,7652,6239069,t=96,col-L,fecal,fecal,295992.714,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,MLN,MLN,MLN,30562.34719,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,spl,spl,spl,0,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,liv,liv,liv,0,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,ile-L,ile-L,ile-L,948316.7378,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,cec-L,cec-L,cec-L,102669.4045,8,8,RC-PBS-INF,RC,PBS,INF,96
7653,70,7653,6239069,t=96,col-L,fecal,fecal,440219.8295,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,MLN,MLN,MLN,3450106.157,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,spl,spl,spl,53191.48936,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,liv,liv,liv,0,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,ile-L,ile-L,ile-L,144316.1634,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,cec-L,cec-L,cec-L,0,8,8,RC-PBS-INF,RC,PBS,INF,96
7654,70,7654,6239069,t=96,col-L,fecal,fecal,117583.2127,8,8,RC-PBS-INF,RC,PBS,INF,96
7647,70,7647,6239070,t=96,MLN,MLN,MLN,0,8,8,RC-ABX-INF,RC,ABX,INF,96
7647,70,7647,6239070,t=96,spl,spl,spl,16304347.83,8,8,RC-ABX-INF,RC,ABX,INF,96
7647,70,7647,6239070,t=96,liv,liv,liv,717703.3493,8,8,RC-ABX-INF,RC,ABX,INF,96
7647,70,7647,6239070,t=96,ile-L,ile-L,ile-L,736464.9682,8,8,RC-ABX-INF,RC,ABX,INF,96
7647,70,7647,6239070,t=96,cec-L,cec-L,cec-L,5208333.333,8,8,RC-ABX-INF,RC,ABX,INF,96
7647,70,7647,6239070,t=96,col-L,fecal,fecal,4047927.461,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,MLN,MLN,MLN,639204.5455,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,spl,spl,spl,537634.4086,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,liv,liv,liv,0,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,ile-L,ile-L,ile-L,200064.0205,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,cec-L,cec-L,cec-L,101010.101,8,8,RC-ABX-INF,RC,ABX,INF,96
7648,70,7648,6239070,t=96,col-L,fecal,fecal,33875.33875,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,MLN,MLN,MLN,89144215.53,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,spl,spl,spl,35755148.74,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,liv,liv,liv,1870598.592,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,ile-L,ile-L,ile-L,4921259843,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,cec-L,cec-L,cec-L,27511961722,8,8,RC-ABX-INF,RC,ABX,INF,96
7649,70,7649,6239070,t=96,col-L,fecal,fecal,29329608939,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,MLN,MLN,MLN,190839.6947,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,spl,spl,spl,0,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,liv,liv,liv,0,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,ile-L,ile-L,ile-L,0,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,cec-L,cec-L,cec-L,44483.98577,8,8,RC-ABX-INF,RC,ABX,INF,96
7650,70,7650,6239070,t=96,col-L,fecal,fecal,13904.33815,8,8,RC-ABX-INF,RC,ABX,INF,96
7639,70,7639,6239072,t=96,MLN,MLN,MLN,4339557.4,8,8,WD-PBS-INF,WD,PBS,INF,96
7639,70,7639,6239072,t=96,spl,spl,spl,71428.57143,8,8,WD-PBS-INF,WD,PBS,INF,96
7639,70,7639,6239072,t=96,liv,liv,liv,0,8,8,WD-PBS-INF,WD,PBS,INF,96
7639,70,7639,6239072,t=96,ile-L,ile-L,ile-L,18811136.19,8,8,WD-PBS-INF,WD,PBS,INF,96
7639,70,7639,6239072,t=96,cec-L,cec-L,cec-L,3946028.513,8,8,WD-PBS-INF,WD,PBS,INF,96
7639,70,7639,6239072,t=96,col-L,fecal,fecal,14732142.86,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,MLN,MLN,MLN,41866028.71,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,spl,spl,spl,1504237288,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,liv,liv,liv,78971119.13,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,ile-L,ile-L,ile-L,1.99E+11,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,cec-L,cec-L,cec-L,34226190476,8,8,WD-PBS-INF,WD,PBS,INF,96
7640,70,7640,6239072,t=96,col-L,fecal,fecal,3.69E+11,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,MLN,MLN,MLN,7751937.984,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,spl,spl,spl,137987013,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,liv,liv,liv,16010802.47,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,ile-L,ile-L,ile-L,58734939759,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,cec-L,cec-L,cec-L,8.16E+11,8,8,WD-PBS-INF,WD,PBS,INF,96
7641,70,7641,6239072,t=96,col-L,fecal,fecal,1.98E+12,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,MLN,MLN,MLN,43448464.91,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,spl,spl,spl,5654761.905,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,liv,liv,liv,2096905.537,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,ile-L,ile-L,ile-L,39750957.85,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,cec-L,cec-L,cec-L,169491525.4,8,8,WD-PBS-INF,WD,PBS,INF,96
7642,70,7642,6239072,t=96,col-L,fecal,fecal,1628787879,8,8,WD-PBS-INF,WD,PBS,INF,96
7643,70,7643,6239071,t=96,MLN,MLN,MLN,93008739.08,8,8,WD-ABX-INF,WD,ABX,INF,96
7643,70,7643,6239071,t=96,spl,spl,spl,17723880.6,8,8,WD-ABX-INF,WD,ABX,INF,96
7643,70,7643,6239071,t=96,liv,liv,liv,230769.2308,8,8,WD-ABX-INF,WD,ABX,INF,96
7643,70,7643,6239071,t=96,ile-L,ile-L,ile-L,2213541667,8,8,WD-ABX-INF,WD,ABX,INF,96
7643,70,7643,6239071,t=96,cec-L,cec-L,cec-L,4687500000,8,8,WD-ABX-INF,WD,ABX,INF,96
7643,70,7643,6239071,t=96,col-L,fecal,fecal,6063432836,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,MLN,MLN,MLN,6944444.444,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,spl,spl,spl,438596.4912,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,liv,liv,liv,142585.5513,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,ile-L,ile-L,ile-L,13430851064,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,cec-L,cec-L,cec-L,27044025157,8,8,WD-ABX-INF,WD,ABX,INF,96
7644,70,7644,6239071,t=96,col-L,fecal,fecal,27697495183,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,MLN,MLN,MLN,19012237.76,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,spl,spl,spl,6664265.13,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,liv,liv,liv,788288.2883,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,ile-L,ile-L,ile-L,3220140515,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,cec-L,cec-L,cec-L,77265372168,8,8,WD-ABX-INF,WD,ABX,INF,96
7645,70,7645,6239071,t=96,col-L,fecal,fecal,5.62E+11,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,MLN,MLN,MLN,1820822.163,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,spl,spl,spl,2967479.675,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,liv,liv,liv,161812.2977,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,ile-L,ile-L,ile-L,1726375909,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,cec-L,cec-L,cec-L,1801801802,8,8,WD-ABX-INF,WD,ABX,INF,96
7646,70,7646,6239071,t=96,col-L,fecal,fecal,1415094340,8,8,WD-ABX-INF,WD,ABX,INF,96