SeqID,SampleID,Mouse,Treatment,Cage,Desc,Rec_day_adj,Aim,Cohort,shotgun_run,perc_mapping
s211004_MEGANKENNEDYHF1_SORTED,HF1,5735,RC-ABX,1,baseline,-13,A1,C1,Oct_2021,0.9025
s211004_MEGANKENNEDYHF2_SORTED,HF2,5570,RC-ABX,1,baseline,-13,A1,C1,Oct_2021,0.8958
s211004_MEGANKENNEDYHF3_SORTED,HF3,5571,RC-ABX,1,baseline,-13,A1,C1,Oct_2021,0.8937
s211004_MEGANKENNEDYHF4_SORTED,HF4,5266,RC-ABX,2,baseline,-13,A1,C1,Oct_2021,0.8937
s211004_MEGANKENNEDYHF5_SORTED,HF5,5267,RC-ABX,2,baseline,-13,A1,C1,Oct_2021,0.8798
s211004_MEGANKENNEDYHF6_SORTED,HF6,5734,RC-ABX,2,baseline,-13,A1,C1,Oct_2021,0.8983
s230228_MEGAN_HF459_SORTED,HF459,1953,RC-ABX,6067919,pre_abx,-3,A1,C2,Mar_2022,0.87
s230228_MEGAN_HF1125_SORTED,HF1125,1507,RC-ABX,6072209,pre_abx,-3,A1,C3,Mar_2022,0.8422
s211004_MEGANKENNEDYHF13_SORTED,HF13,5735,RC-ABX,1,pre-abx,-3,A1,C1,Oct_2021,0.9032
s211004_MEGANKENNEDYHF14_SORTED,HF14,5570,RC-ABX,1,pre-abx,-3,A1,C1,Oct_2021,0.9067
s211004_MEGANKENNEDYHF15_SORTED,HF15,5571,RC-ABX,1,pre-abx,-3,A1,C1,Oct_2021,0.8906
s211004_MEGANKENNEDYHF16_SORTED,HF16,5266,RC-ABX,2,pre-abx,-3,A1,C1,Oct_2021,0.9284
s211004_MEGANKENNEDYHF17_SORTED,HF17,5267,RC-ABX,2,pre-abx,-3,A1,C1,Oct_2021,0.9117
s211004_MEGANKENNEDYHF18_SORTED,HF18,5734,RC-ABX,2,pre-abx,-3,A1,C1,Oct_2021,0.9422
s230228_MEGAN_HF73_SORTED,HF73,5735,RC-ABX,1,rec_wk1,2,A1,C1,Mar_2022,0.1377
s230228_MEGAN_HF499_SORTED,HF499,1953,RC-ABX,6067918,rec_wk1,2,A1,C2,Mar_2022,0.6454
s230228_MEGAN_HF97_SORTED,HF97,5735,RC-ABX,1,rec_wk1,4,A1,C1,Mar_2022,0.8889
s230228_MEGAN_HF515_SORTED,HF515,1953,RC-ABX,6067918,rec_wk1,4,A1,C2,Mar_2022,0.9119
s230228_MEGAN_HF1258_SORTED,HF1258,1507,RC-ABX,6072209,rec_wk1,4,A1,C3,Mar_2022,0.9082
s230228_MEGAN_HF181_SORTED,HF181,5735,RC-ABX,1,rec_wk2,14,A1,C1,Mar_2022,0.8638
s230228_MEGAN_HF563_SORTED,HF563,1953,RC-ABX,6067918,rec_wk2,14,A1,C2,Mar_2022,0.8932
s230228_MEGAN_HF1379_SORTED,HF1379,1507,RC-ABX,6072209,rec_wk2,14,A1,C3,Mar_2022,0.9258
s230228_MEGAN_HF217_SORTED,HF217,5735,RC-ABX,1,rec_wk4,28,A1,C1,Mar_2022,0.872
s230228_MEGAN_HF597_SORTED,HF597,1953,RC-ABX,6067918,rec_wk4,28,A1,C2,Mar_2022,0.812
s230228_MEGAN_HF3022_SORTED,HF3022,1507,RC-ABX,6072209,rec_wk4,28,A1,C3,Mar_2022,0.8741
s211004_MEGANKENNEDYHF7_SORTED,HF7,5733,WD-ABX,3,baseline,-13,A1,C1,Oct_2021,0.9116
s211004_MEGANKENNEDYHF8_SORTED,HF8,5568,WD-ABX,3,baseline,-13,A1,C1,Oct_2021,0.8841
s211004_MEGANKENNEDYHF11_SORTED,HF11,5265,WD-ABX,4,baseline,-13,A1,C1,Oct_2021,0.935
s211004_MEGANKENNEDYHF12_SORTED,HF12,5732,WD-ABX,4,baseline,-13,A1,C1,Oct_2021,0.8847
s230228_MEGAN_HF453_SORTED,HF453,1946,WD-ABX,6067917,pre_abx,-3,A1,C2,Mar_2022,0.6409
s230228_MEGAN_HF1129_SORTED,HF1129,1512,WD-ABX,6072210,pre_abx,-3,A1,C3,Mar_2022,0.7422
s211004_MEGANKENNEDYHF19_SORTED,HF19,5733,WD-ABX,3,pre-abx,-3,A1,C1,Oct_2021,0.8768
s211004_MEGANKENNEDYHF20_SORTED,HF20,5568,WD-ABX,3,pre-abx,-3,A1,C1,Oct_2021,0.4649
s211004_MEGANKENNEDYHF21_SORTED,HF21,5569,WD-ABX,3,pre-abx,-3,A1,C1,Oct_2021,0.7722
s211004_MEGANKENNEDYHF22_SORTED,HF22,5264,WD-ABX,4,pre-abx,-3,A1,C1,Oct_2021,0.8053
s211004_MEGANKENNEDYHF23_SORTED,HF23,5265,WD-ABX,4,pre-abx,-3,A1,C1,Oct_2021,0.7847
s211004_MEGANKENNEDYHF24_SORTED,HF24,5732,WD-ABX,4,pre-abx,-3,A1,C1,Oct_2021,0.832
s230228_MEGAN_HF79_SORTED,HF79,5733,WD-ABX,3,rec_wk1,2,A1,C1,Mar_2022,0.8533
s230228_MEGAN_HF497_SORTED,HF497,1946,WD-ABX,6067917,rec_wk1,2,A1,C2,Mar_2022,0.8892
s230228_MEGAN_HF1213_SORTED,HF1213,1512,WD-ABX,6072210,rec_wk1,2,A1,C3,Mar_2022,0.8995
s230228_MEGAN_HF187_SORTED,HF187,5733,WD-ABX,3,rec_wk2,14,A1,C1,Mar_2022,0.9503
s230228_MEGAN_HF561_SORTED,HF561,1946,WD-ABX,6067917,rec_wk2,14,A1,C2,Mar_2022,0.8893
s230228_MEGAN_HF1382_SORTED,HF1382,1512,WD-ABX,6072210,rec_wk2,14,A1,C3,Mar_2022,0.9185
s211004_MEGANKENNEDYHF189_SORTED,HF189,5569,WD-ABX,3,rec_wk2,14,A1,C1,Oct_2021,0.9422
s230228_MEGAN_HF223_SORTED,HF223,5733,WD-ABX,3,rec_wk4,28,A1,C1,Mar_2022,0.9159
s230228_MEGAN_HF596_SORTED,HF596,1946,WD-ABX,6067917,rec_wk4,28,A1,C2,Mar_2022,0.9325
s230228_MEGAN_HF3060_SORTED,HF3060,1512,WD-ABX,6072210,rec_wk4,28,A1,C3,Mar_2022,0.8061